id,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,season,city,venue,toss_winner,toss_decision,winner,result,result_margin,player_of_match,team1,team2,batting_team,bowling_team
392202,164,5,123,126,9,120,2009,Centurion,SuperSport Park,Rajasthan,field,Chennai,runs,38.0,SK Raina,Chennai,Rajasthan,Chennai,Rajasthan
392203,148,6,126,139,6,127,2009,East London,Buffalo Park,Mumbai,bat,Mumbai,runs,9.0,JP Duminy,Kolkata,Mumbai,Mumbai,Kolkata
392204,145,9,124,137,7,123,2009,Durban,Kingsmead,Bangalore,bat,Bangalore,runs,8.0,Yuvraj Singh,Bangalore,Punjab,Bangalore,Punjab
392205,141,5,124,142,7,122,2009,Port Elizabeth,St George's Park,Hyderabad,bat,Rajasthan,wickets,3.0,YK Pathan,Hyderabad,Rajasthan,Hyderabad,Rajasthan
392206,163,10,125,145,8,121,2009,Johannesburg,New Wanderers Stadium,Delhi,field,Chennai,runs,18.0,SB Jakati,Chennai,Delhi,Chennai,Delhi
392207,153,3,123,154,4,126,2009,Port Elizabeth,St George's Park,Kolkata,bat,Punjab,wickets,6.0,DPMD Jayawardene,Punjab,Kolkata,Kolkata,Punjab
392208,149,4,122,150,1,116,2009,Johannesburg,New Wanderers Stadium,Mumbai,bat,Bangalore,wickets,9.0,JH Kallis,Bangalore,Mumbai,Mumbai,Bangalore
392209,178,3,124,100,10,91,2009,East London,Buffalo Park,Chennai,bat,Chennai,runs,78.0,MS Dhoni,Chennai,Hyderabad,Chennai,Hyderabad
392210,211,4,124,133,8,128,2009,Durban,Kingsmead,Punjab,field,Rajasthan,runs,78.0,GC Smith,Punjab,Rajasthan,Rajasthan,Punjab
392211,154,3,124,157,1,116,2009,Durban,Kingsmead,Kolkata,bat,Delhi,wickets,9.0,G Gambhir,Delhi,Kolkata,Kolkata,Delhi
392212,145,6,124,126,8,121,2009,Centurion,SuperSport Park,Hyderabad,bat,Hyderabad,runs,19.0,RG Sharma,Hyderabad,Mumbai,Hyderabad,Mumbai
392213,105,10,125,107,3,93,2009,Centurion,SuperSport Park,Rajasthan,field,Rajasthan,wickets,7.0,A Singh,Bangalore,Rajasthan,Bangalore,Rajasthan
392214,185,3,109,174,3,111,2009,Centurion,SuperSport Park,Chennai,bat,Chennai,runs,12.0,ML Hayden,Chennai,Punjab,Chennai,Punjab
392215,116,10,130,118,3,117,2009,East London,Buffalo Park,Mumbai,bat,Delhi,wickets,7.0,A Nehra,Delhi,Mumbai,Mumbai,Delhi
392216,168,5,125,169,7,122,2009,Kimberley,De Beers Diamond Oval,Punjab,field,Punjab,wickets,3.0,DPMD Jayawardene,Hyderabad,Punjab,Hyderabad,Punjab
