winner,team1,team2,city,venue
Bangalore,Punjab,Bangalore,Chandigarh,Punjab Cricket Association Stadium
Punjab,Bangalore,Punjab,Bangalore,M Chinnaswamy Stadium
Mumbai,Mumbai,Chennai,Mumbai,Wankhede Stadium
Kolkata,Hyderabad,Kolkata,Kolkata,Eden Gardens
Kolkata,Kolkata,Bangalore,Kolkata,Eden Gardens
Punjab,Gujarat,Punjab,Navi Mumbai,Dr DY Patil Sports Academy
Bangalore,Gujarat,Bangalore,Rajkot,Saurashtra Cricket Association Stadium
Bangalore,Bangalore,Lucknow,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
Gujarat,Kolkata,Gujarat,Kolkata,Eden Gardens
Kolkata,Kolkata,Hyderabad,Kolkata,Eden Gardens
Delhi,Delhi,Mumbai,East London,Buffalo Park
Kolkata,Hyderabad,Kolkata,Kolkata,Eden Gardens
Kolkata,Kolkata,Mumbai,Kolkata,Eden Gardens
Hyderabad,Delhi,Hyderabad,Raipur,Shaheed Veer Narayan Singh International Stadium
Bangalore,Bangalore,Chennai,Pune,Maharashtra Cricket Association Stadium
Bangalore,Mumbai,Bangalore,Pune,Maharashtra Cricket Association Stadium
Rajasthan,Rajasthan,Punjab,Jaipur,Sawai Mansingh Stadium
Kolkata,Bangalore,Kolkata,Kolkata,Eden Gardens
Mumbai,Mumbai,Bangalore,Mumbai,Wankhede Stadium
Chennai,Bangalore,Chennai,Pune,Maharashtra Cricket Association Stadium
Rajasthan,Mumbai,Rajasthan,Mumbai,Wankhede Stadium
Mumbai,Chennai,Mumbai,Cape Town,Newlands
Bangalore,Bangalore,Hyderabad,Mumbai,Dr DY Patil Sports Academy
Hyderabad,Chennai,Hyderabad,Chennai,MA Chidambaram Stadium
Gujarat,Chennai,Gujarat,Ahmedabad,"Narendra Modi Stadium, Ahmedabad"
Pune,Pune,Bangalore,Pune,Maharashtra Cricket Association Stadium
Delhi,Delhi,Kolkata,Johannesburg,New Wanderers Stadium
Chennai,Punjab,Chennai,Dharamsala,Himachal Pradesh Cricket Association Stadium
Punjab,Punjab,Chennai,Dharamsala,Himachal Pradesh Cricket Association Stadium
Bangalore,Bangalore,Pune,Bangalore,M Chinnaswamy Stadium
Hyderabad,Bangalore,Hyderabad,Bangalore,M Chinnaswamy Stadium
Chennai,Delhi,Chennai,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Gujarat,Gujarat,Delhi,Pune,Maharashtra Cricket Association Stadium
Delhi,Hyderabad,Delhi,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Rajasthan,Mumbai,Rajasthan,Jaipur,Sawai Mansingh Stadium
Punjab,Rajasthan,Punjab,Ahmedabad,"Sardar Patel Stadium, Motera"
Mumbai,Delhi,Mumbai,Delhi,Feroz Shah Kotla
Bangalore,Punjab,Bangalore,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Chennai,Chennai,Delhi,Abu Dhabi,Sheikh Zayed Stadium
Hyderabad,Chennai,Hyderabad,Ranchi,JSCA International Stadium Complex
Delhi,Gujarat,Delhi,Kanpur,Green Park
Pune,Bangalore,Pune,Bangalore,M Chinnaswamy Stadium
Lucknow,Mumbai,Lucknow,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
Kolkata,Rajasthan,Kolkata,Jaipur,Sawai Mansingh Stadium
Bangalore,Kolkata,Bangalore,Abu Dhabi,Sheikh Zayed Stadium
Bangalore,Punjab,Bangalore,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Rajasthan,Delhi,Rajasthan,Delhi,Feroz Shah Kotla
Delhi,Kolkata,Delhi,Kolkata,Eden Gardens
Delhi,Kerala,Delhi,Kochi,Nehru Stadium
Hyderabad,Hyderabad,Kolkata,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Rajasthan,Rajasthan,Bangalore,Jaipur,Sawai Mansingh Stadium
Kolkata,Kolkata,Bangalore,Bengaluru,M Chinnaswamy Stadium
Gujarat,Rajasthan,Gujarat,Jaipur,Sawai Mansingh Stadium
Kolkata,Hyderabad,Kolkata,Hyderabad,Rajiv Gandhi International Stadium
Mumbai,Punjab,Mumbai,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Mumbai,Chennai,Mumbai,Mumbai,"Brabourne Stadium, Mumbai"
Delhi,Delhi,Punjab,Delhi,Feroz Shah Kotla
Punjab,Punjab,Mumbai,Dharamsala,Himachal Pradesh Cricket Association Stadium
Chennai,Chennai,Mumbai,Chennai,MA Chidambaram Stadium
Kolkata,Kolkata,Bangalore,Kolkata,Eden Gardens
Punjab,Gujarat,Punjab,Rajkot,Saurashtra Cricket Association Stadium
Hyderabad,Punjab,Hyderabad,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Mumbai,Mumbai,Pune,Mumbai,Wankhede Stadium
Rajasthan,Rajasthan,Hyderabad,Ahmedabad,"Sardar Patel Stadium, Motera"
Kolkata,Kolkata,Mumbai,Kolkata,Eden Gardens
Punjab,Punjab,Chennai,Dharamsala,Himachal Pradesh Cricket Association Stadium
Hyderabad,Delhi,Hyderabad,Delhi,Arun Jaitley Stadium
Mumbai,Mumbai,Rajasthan,Kolkata,Eden Gardens
Punjab,Mumbai,Punjab,Chandigarh,Punjab Cricket Association Stadium
Punjab,Delhi,Punjab,Chandigarh,Punjab Cricket Association Stadium
Rajasthan,Rajasthan,Chennai,Jaipur,Sawai Mansingh Stadium
Punjab,Punjab,Mumbai,Mumbai,Wankhede Stadium
Mumbai,Delhi,Mumbai,Mumbai,Wankhede Stadium
Rajasthan,Mumbai,Rajasthan,Jaipur,Sawai Mansingh Stadium
Chennai,Hyderabad,Chennai,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Mumbai,Chennai,Mumbai,Chennai,MA Chidambaram Stadium
Rajasthan,Rajasthan,Mumbai,Jaipur,Sawai Mansingh Stadium
Chennai,Bangalore,Chennai,Chennai,MA Chidambaram Stadium
Chennai,Delhi,Chennai,Delhi,Arun Jaitley Stadium
Kolkata,Delhi,Kolkata,Pune,Subrata Roy Sahara Stadium
Kolkata,Rajasthan,Kolkata,Jaipur,Sawai Mansingh Stadium
Delhi,Delhi,Punjab,Navi Mumbai,Dr DY Patil Sports Academy
Bangalore,Delhi,Bangalore,Delhi,Arun Jaitley Stadium
Rajasthan,Rajasthan,Mumbai,Jaipur,Sawai Mansingh Stadium
Mumbai,Mumbai,Hyderabad,Mumbai,Wankhede Stadium
Hyderabad,Mumbai,Hyderabad,Hyderabad,Rajiv Gandhi International Stadium
Punjab,Delhi,Punjab,Delhi,Feroz Shah Kotla
Punjab,Punjab,Mumbai,Dharamsala,Himachal Pradesh Cricket Association Stadium
Hyderabad,Delhi,Hyderabad,Delhi,Feroz Shah Kotla
Kolkata,Kolkata,Punjab,Abu Dhabi,Sheikh Zayed Stadium
Chennai,Chennai,Kerala,Chennai,MA Chidambaram Stadium
Delhi,Kolkata,Delhi,Delhi,Arun Jaitley Stadium
Rajasthan,Chennai,Rajasthan,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Rajasthan,Rajasthan,Pune,Jaipur,Sawai Mansingh Stadium
Bangalore,Mumbai,Bangalore,Pune,Maharashtra Cricket Association Stadium
Kolkata,Kolkata,Bangalore,Kolkata,Eden Gardens
Hyderabad,Bangalore,Hyderabad,Bangalore,M Chinnaswamy Stadium
Delhi,Hyderabad,Delhi,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Bangalore,Bangalore,Chennai,Bangalore,M Chinnaswamy Stadium
Bangalore,Delhi,Bangalore,Delhi,Feroz Shah Kotla
Gujarat,Chennai,Gujarat,Pune,Maharashtra Cricket Association Stadium
Hyderabad,Hyderabad,Rajasthan,Kimberley,De Beers Diamond Oval
Bangalore,Bangalore,Delhi,Mumbai,Wankhede Stadium
Delhi,Delhi,Bangalore,UAE,Dubai International Cricket Stadium
Chennai,Mumbai,Chennai,Mumbai,Wankhede Stadium
Hyderabad,Mumbai,Hyderabad,Mumbai,Wankhede Stadium
Bangalore,Kolkata,Bangalore,Kolkata,Eden Gardens
Mumbai,Mumbai,Chennai,Mumbai,Wankhede Stadium
Rajasthan,Hyderabad,Rajasthan,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha"
Pune,Punjab,Pune,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Delhi,Punjab,Delhi,Mumbai,Wankhede Stadium
Chennai,Chennai,Rajasthan,Kimberley,De Beers Diamond Oval
Bangalore,Delhi,Bangalore,Delhi,Feroz Shah Kotla
Mumbai,Mumbai,Delhi,Mumbai,Wankhede Stadium
Chennai,Delhi,Chennai,Delhi,Feroz Shah Kotla
Punjab,Punjab,Bangalore,Indore,Holkar Cricket Stadium
Mumbai,Mumbai,Pune,Mumbai,Wankhede Stadium
Chennai,Chennai,Punjab,Centurion,SuperSport Park
Chennai,Hyderabad,Chennai,Hyderabad,Rajiv Gandhi International Stadium
Kolkata,Kolkata,Rajasthan,UAE,Dubai International Cricket Stadium
Rajasthan,Mumbai,Rajasthan,Mumbai,Wankhede Stadium
Kolkata,Punjab,Kolkata,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Chennai,Chennai,Bangalore,Chennai,MA Chidambaram Stadium
Chennai,Chennai,Hyderabad,Chennai,MA Chidambaram Stadium
Chennai,Mumbai,Chennai,Navi Mumbai,Dr DY Patil Sports Academy
Bangalore,Chennai,Bangalore,Ranchi,JSCA International Stadium Complex
Punjab,Kolkata,Punjab,UAE,Sharjah Cricket Stadium
Rajasthan,Punjab,Rajasthan,Pune,Maharashtra Cricket Association Stadium
Punjab,Punjab,Hyderabad,UAE,Dubai International Cricket Stadium
Chennai,Chennai,Punjab,Durban,Kingsmead
Punjab,Punjab,Bangalore,Mumbai,"Brabourne Stadium, Mumbai"
Bangalore,Kolkata,Bangalore,Kolkata,Eden Gardens
